代码,名称,交易状态,方向,订单价格,订单数量,已成交@均价,操作,下单时间,订单类型,期限,盘前竞价,时段,触发价,卖空,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场,币种,对手经纪,备注,交易活动费,证监会规费, 合计费用, 当前费用为实盘收费估算值，可能与实盘存在差异
MARA,MARA Holdings,全部撤单,买入,15.5,200,0.0@0.0,,2024/10/7 15:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,0,0,0,,美国市场,美元,,,,,,
MARA,MARA Holdings,全部成交,卖出,15.8,200,200@15.82,,2024/10/7 15:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.82,3164,2024/10/7 15:30,美国市场,美元,,,0.03,0.09,0.12,
MARA,MARA Holdings,全部撤单,买入,15.8,200,0.0@0.0,,2024/10/7 15:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,0,0,0,,美国市场,美元,,,,,,
MARA,MARA Holdings,全部成交,买入,15.8,200,200@15.75,,2024/10/8 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.75,3150,2024/10/8 9:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,16.1,400,400@16.1,,2024/10/8 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,16.1,6440,2024/10/8 10:00,美国市场,美元,,,0.07,0.18,0.25,
MARA,MARA Holdings,全部成交,卖出,16.3,400,400@16.31,,2024/10/8 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,16.31,6524,2024/10/8 11:00,美国市场,美元,,,0.07,0.18,0.25,
MARA,MARA Holdings,全部成交,卖出,16.3,400,400@16.31,,2024/10/8 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,16.31,6524,2024/10/8 11:00,美国市场,美元,,,0.07,0.18,0.25,
MARA,MARA Holdings,全部成交,买入,16,200,200@16.0,,2024/10/8 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16,3200,2024/10/8 11:31,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,16.1,200,200@16.05,,2024/10/8 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.05,3210,2024/10/8 12:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.9,200,200@15.9,,2024/10/8 13:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.9,3180,2024/10/8 13:56,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.9,200,200@15.86,,2024/10/8 14:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.86,3172,2024/10/8 14:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.8,200,200@15.78,,2024/10/9 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.78,3156,2024/10/9 9:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.8,200,200@15.8,,2024/10/9 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.8,3160,2024/10/9 10:18,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.6,200,200@15.6,,2024/10/9 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.6,3120,2024/10/9 13:27,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,15.9,200,200@15.9,,2024/10/9 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.9,3180,2024/10/9 11:31,美国市场,美元,,,0.03,0.09,0.12,
MARA,MARA Holdings,全部成交,买入,15.6,200,200@15.6,,2024/10/9 13:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.6,3120,2024/10/9 13:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.6,200,200@15.6,,2024/10/9 14:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.6,3120,2024/10/9 14:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.4,200,200@15.39,,2024/10/9 15:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.39,3078,2024/10/9 15:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.4,200,200@15.39,,2024/10/10 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.39,3078,2024/10/10 9:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.2,200,200@15.2,,2024/10/10 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.2,3040,2024/10/10 11:01,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,15.2,200,200@15.16,,2024/10/10 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,15.16,3032,2024/10/10 11:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,15.9,400,400@15.9,,2024/10/11 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,15.9,6360,2024/10/11 10:00,美国市场,美元,,,0.07,0.18,0.25,
MARA,MARA Holdings,全部成交,卖出,15.9,400,400@15.9,,2024/10/11 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,15.9,6360,2024/10/11 10:00,美国市场,美元,,,0.07,0.18,0.25,
MARA,MARA Holdings,全部成交,卖出,15.9,400,400@15.9,,2024/10/11 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,15.9,6360,2024/10/11 10:00,美国市场,美元,,,0.07,0.18,0.25,
MARA,MARA Holdings,全部成交,卖出,16.1,400,400@16.13,,2024/10/11 14:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,16.13,6452,2024/10/11 14:00,美国市场,美元,,,0.07,0.18,0.25,
MARA,MARA Holdings,全部成交,卖出,16.8,400,400@16.8,,2024/10/14 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,16.8,6720,2024/10/14 9:32,美国市场,美元,,,0.07,0.19,0.26,
MARA,MARA Holdings,全部成交,卖出,16.8,400,400@16.8,,2024/10/14 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,16.8,6720,2024/10/14 9:32,美国市场,美元,,,0.07,0.19,0.26,
MARA,MARA Holdings,全部成交,卖出,16.8,400,400@16.8,,2024/10/14 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,16.8,6720,2024/10/14 9:32,美国市场,美元,,,0.07,0.19,0.26,
MARA,MARA Holdings,全部成交,卖出,16.8,200,200@16.8,,2024/10/14 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.8,3360,2024/10/14 9:32,美国市场,美元,,,0.03,0.09,0.12,
MARA,MARA Holdings,全部成交,买入,16.8,200,200@16.79,,2024/10/14 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.79,3358,2024/10/14 10:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,17.4,200,200@17.4,,2024/10/14 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.4,3480,2024/10/14 10:30,美国市场,美元,,,0.03,0.1,0.13,
MARA,MARA Holdings,全部成交,买入,17.4,200,200@17.4,,2024/10/14 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.4,3480,2024/10/14 10:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,17.7,200,200@17.7,,2024/10/14 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.7,3540,2024/10/14 11:00,美国市场,美元,,,0.03,0.1,0.13,
MARA,MARA Holdings,全部成交,买入,17.7,200,200@17.7,,2024/10/14 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.7,3540,2024/10/14 11:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,17.8,200,200@17.79,,2024/10/14 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.79,3558,2024/10/14 11:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,17.4,400,400@17.4,,2024/10/14 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,17.4,6960,2024/10/14 12:01,美国市场,美元,,,0.07,0.19,0.26,
MARA,MARA Holdings,全部成交,买入,16.8,200,200@16.8,,2024/10/14 12:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.8,3360,2024/10/14 12:31,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,16.9,200,200@16.9,,2024/10/14 13:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.9,3380,2024/10/14 13:28,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,16.9,200,200@16.9,,2024/10/14 13:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,16.9,3380,2024/10/14 13:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,17.2,200,200@17.23,,2024/10/14 14:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.23,3446,2024/10/14 14:30,美国市场,美元,,,0.03,0.1,0.13,
MARA,MARA Holdings,全部成交,卖出,17.2,400,400@17.23,,2024/10/14 14:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,17.23,6892,2024/10/14 14:30,美国市场,美元,,,0.07,0.19,0.26,
MARA,MARA Holdings,全部成交,买入,17.2,200,200@17.2,,2024/10/14 14:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.2,3440,2024/10/14 14:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,17.8,200,200@17.75,,2024/10/15 10:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.75,3550,2024/10/15 10:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,17,200,200@17.0,,2024/10/15 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17,3400,2024/10/15 10:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,17,200,200@17.0,,2024/10/15 11:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17,3400,2024/10/15 11:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,17.5,400,400@17.5,,2024/10/16 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,17.5,7000,2024/10/16 9:30,美国市场,美元,,,0.07,0.19,0.26,
MARA,MARA Holdings,全部成交,买入,17.4,200,200@17.4,,2024/10/16 10:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.4,3480,2024/10/16 10:31,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,17.6,200,200@17.6,,2024/10/16 11:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.6,3520,2024/10/16 11:30,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,买入,17.7,200,200@17.7,,2024/10/16 12:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.7,3540,2024/10/16 12:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,17.9,400,400@17.9,,2024/10/16 12:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,17.9,7160,2024/10/16 15:50,美国市场,美元,,,0.07,0.2,0.27,
MARA,MARA Holdings,全部成交,卖出,17.9,400,400@17.9,,2024/10/16 12:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,17.9,7160,2024/10/16 15:50,美国市场,美元,,,0.07,0.2,0.27,
MARA,MARA Holdings,全部成交,买入,17.7,200,200@17.7,,2024/10/16 13:00,限价单,当日有效,不允许,盘中,,,美国市场,美元,,200,17.7,3540,2024/10/16 13:00,美国市场,美元,,,0,0,0,
MARA,MARA Holdings,全部成交,卖出,18,400,400@18.0,,2024/10/17 9:30,限价单,当日有效,不允许,盘中,,,美国市场,美元,,400,18,7200,2024/10/17 11:35,美国市场,美元,,,0.07,0.2,0.27,
